"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
259,"KMI","Kinder Morgan, Inc.","Basic Materials","Oil & Gas Pipelines","USA",36042.44,37.41,34.79,0.58%,3970363
260,"KMX","CarMax Inc.","Services","Auto Dealerships","USA",10346.43,21.72,46.27,-0.32%,1106644
261,"KO","The Coca-Cola Company","Consumer Goods","Beverages - Soft Drinks","USA",164857.69,19.62,37.08,-0.54%,18989754
262,"KR","The Kroger Co.","Services","Grocery Stores","USA",20677.25,13.38,40.15,1.01%,3520169
263,"KRFT","Kraft Foods Group, Inc.","Consumer Goods","Food - Major Diversified","USA",30816.72,16.74,51.88,-2.24%,3462579
264,"KSS","Kohl's Corp.","Services","Department Stores","USA",11288.20,12.02,51.31,1.06%,2267388
265,"KSU","Kansas City Southern","Services","Railroads","USA",12082.18,40.25,109.87,-0.76%,1252379
266,"L","Loews Corporation","Financial","Property & Casualty Insurance","USA",18074.85,27.84,46.49,0.69%,983447
267,"LEG","Leggett & Platt, Incorporated","Consumer Goods","Home Furnishings & Fixtures","USA",4232.57,16.88,29.03,1.36%,1321300
268,"LEN","Lennar Corp.","Industrial Goods","Residential Construction","USA",6368.87,16.86,33.38,-1.04%,9061629
269,"LH","Laboratory Corp. of America Holdings","Healthcare","Medical Laboratories & Research","USA",9212.88,16.77,100.14,0.07%,592283
270,"LIFE","Life Technologies Corporation","Healthcare","Medical Laboratories & Research","USA",12928.35,31.10,74.94,0.29%,1727898
271,"LLL","L-3 Communications Holdings Inc.","Industrial Goods","Aerospace/Defense Products & Services","USA",8265.41,10.95,91.94,-0.05%,345863
272,"LLTC","Linear Technology Corp.","Technology","Semiconductor - Specialized","USA",9208.55,22.63,38.70,-0.26%,1786365
273,"LLY","Eli Lilly & Co.","Healthcare","Drug Manufacturers - Major","USA",51806.39,10.75,47.96,-0.19%,6923428
274,"LM","Legg Mason Inc.","Financial","Asset Management","USA",4131.27,,32.99,1.20%,1168325
275,"LMT","Lockheed Martin Corporation","Industrial Goods","Aerospace/Defense Products & Services","USA",39147.22,13.67,122.03,-0.35%,1530767
276,"LNC","Lincoln National Corp.","Financial","Life Insurance","USA",11075.54,9.06,41.58,-0.31%,2359308
277,"LO","Lorillard, Inc.","Consumer Goods","Cigarettes","USA",16605.49,13.72,44.18,-0.74%,2128764
278,"LOW","Lowe's Companies Inc.","Services","Home Improvement Stores","USA",49722.20,23.54,46.60,0.15%,6650385
279,"LRCX","Lam Research Corporation","Technology","Semiconductor Equipment & Materials","USA",8218.64,75.48,50.57,-0.34%,1521344
280,"LSI","LSI Corporation","Technology","Semiconductor - Specialized","USA",4109.37,39.45,7.49,-1.51%,13774084
281,"LTD","Limited Brands, Inc.","Services","Apparel Stores","USA",17110.00,21.61,59.00,0.70%,1996354
282,"LUK","Leucadia National Corp.","Consumer Goods","Meat Products","USA",10072.73,7.80,27.39,0.88%,1285652
283,"LUV","Southwest Airlines Co.","Services","Regional Airlines","USA",10674.30,28.75,14.95,0.88%,8157013
284,"LYB","LyondellBasell Industries NV","Basic Materials","Specialty Chemicals","Netherlands",41572.83,12.60,72.73,-0.60%,2939720
285,"M","Macy's, Inc.","Services","Department Stores","USA",16202.70,12.28,42.36,-0.21%,5073561
286,"MA","Mastercard Incorporated","Financial","Credit Services","USA",79524.83,27.17,657.23,0.51%,654105
287,"MAC","Macerich Co.","Financial","REIT - Retail","USA",7700.30,24.45,55.25,-0.13%,801072
288,"MAR","Marriott International, Inc.","Services","Lodging","USA",12660.58,20.74,41.28,-0.60%,2861617
289,"MAS","Masco Corporation","Industrial Goods","General Building Materials","USA",6815.97,88.77,19.53,0.67%,5924084
290,"MAT","Mattel Inc.","Consumer Goods","Toys & Games","USA",14127.99,18.28,40.76,0.92%,3529395
291,"MCD","McDonald's Corp.","Services","Restaurants","USA",93400.57,17.08,93.27,-0.71%,5157551
292,"MCHP","Microchip Technology Inc.","Technology","Semiconductor - Specialized","USA",7645.60,64.70,38.82,-0.18%,1382487
